05-10-2017,SteelBar,25000,AluminumBar,200000,SilverBar,50000,Glass,10000
12-10-2017,GreenLaser,150000,InsulatedWire,12000,DiamondCutter,3000,Motherboard,500
19-10-2017,PolishedObsidian,30000,PolishedRuby,30000,PolishedDiamond,6000,PolishedEmerald,40000
26-10-2017,AmberBracelet,24000,Graphite,580000,Rubber,1500,GoldBar,48500
02-11-2017,GreenLaser,150000,Circuit,16500,Silver,1000000,PlasticPlate,1500
09-11-2017,SteelBar,25000,AluminumBar,200000,SilverBar,50000,Glass,10000
16-11-2017,Oxygen,3200,RefinedOil,1600,Rubber,1600,PlasticPlate,1500
23-11-2017,CopperNail,145000,SolidPropellant,1500,Accumulator,16100,Circuit,16500
30-11-2017,PolishedAmethyst,30000,PolishedAmber,40000,PolishedObsidian,30000,PolishedAlexandrite,6000
07-12-2017,CopperBar,290000,IronBar,50000,GoldBar,48500,TitaniumBar,2000
14-12-2017,InsulatedWire,15000,Motherboard,1600,Gear,1600,Battery,24000
21-12-2017,SulfuricAcid,1600,Ethanol,1600,Hydrogen,6400,LiquidNitrogen,1600
28-12-2017,Tree,1600,PolishedTopaz,50000,PolishedSapphire,50000,Gunpowder,1600
04-01-2018,SteelBar,60000,AluminumBar,200000,Glass,10000,SilverBar,50000
11-01-2018,Gunpowder,1600,Rubber,1600,CleanWater,5000,DiethylEther,1600
18-01-2018,SolidPropellant,1500,CopperNail,145000,Accumulator,16100,Circuit,16500
25-01-2018,SolidPropellant,1500,Grape,1600,SilverBar,50000,PlasticPlate,1500
01-02-2018,Graphite,580000,PolishedDiamond,6000,Hydrogen,6500,Glass,10000
08-02-2018,SolidPropellant,1500,AluminumBar,200000,Tree,1600,CleanWater,5000
15-02-2018,Gear,1600,Wire,485000,OpticFiber,3200,Ethanol,1600
22-02-2018,PolishedAmber,40000,LabFlask,48500,EmeraldRing,9600,Motherboard,1600